,OBSDATE,PORTNUM,RET,VWRETD,ALPHA,BETA,RSQR,ERRVAR,EXPRET,EXCRET,EXPMKT,EXCMKT,NEXTRF
0,19740131,1,0.104962,0.004413,-0.01683558043848482,1.7955422681332722,0.7430353360221207,0.0023212467864704286,-0.019017616666666664,-0.02360133333333333,0.0008156333333333332,-0.0037680833333333316,0.006274
1,19740131,2,0.140392,0.004413,-0.01175783779732631,1.5935322208922371,0.7732302211715547,0.0015504728503360325,-0.013178683333333333,-0.0177624,0.0008156333333333332,-0.0037680833333333316,0.006274
2,19740131,3,0.147924,0.004413,-0.010228404335071831,1.4591447459835467,0.7799561420488172,0.00125055250455696,-0.011142866666666666,-0.015726583333333335,0.0008156333333333332,-0.0037680833333333316,0.006274
3,19740131,4,0.131079,0.004413,-0.006379967949405442,1.36145221060961,0.8068259294344367,0.0009239317639185443,-0.006926316666666667,-0.011510033333333334,0.0008156333333333332,-0.0037680833333333316,0.006274
4,19740131,5,0.185648,0.004413,-0.006581926293893104,1.3150249789522248,0.7526273249893598,0.0011833299564707625,-0.006953333333333334,-0.01153705,0.0008156333333333332,-0.0037680833333333316,0.006274
5,19740131,6,0.047384,0.004413,-0.00956367512322042,1.7173031939614507,0.8033655908435592,0.0015028178926551649,-0.011450900000000002,-0.016034616666666668,0.0008156333333333332,-0.0037680833333333316,0.006274
6,19740131,7,0.112607,0.004413,-0.00815961541734362,1.5269570071406022,0.8458381632843006,0.0008847270974668065,-0.0093296,-0.013913316666666668,0.0008156333333333332,-0.0037680833333333316,0.006274
7,19740131,8,0.094819,0.004413,-0.0035220048862076034,1.3439445643344041,0.8440534529836518,0.0006947597225024486,-0.004002383333333333,-0.008586099999999996,0.0008156333333333332,-0.0037680833333333316,0.006274
8,19740131,9,0.102357,0.004413,-0.0034608428865857107,1.2042701939750864,0.8759291057926679,0.00042767606017300746,-0.0034149166666666664,-0.007998633333333333,0.0008156333333333332,-0.0037680833333333316,0.006274
9,19740131,10,0.138802,0.004413,0.00014318187764798416,1.3017401095113743,0.8288775298787541,0.0007283352979974066,-0.00017816666666666732,-0.004761883333333333,0.0008156333333333332,-0.0037680833333333316,0.006274
10,19740131,11,0.05239,0.004413,-0.005261936876297415,1.65092238504171,0.8584115297550063,0.0009359481075166399,-0.006899033333333334,-0.011482749999999996,0.0008156333333333332,-0.0037680833333333316,0.006274
11,19740131,12,0.051459,0.004413,-0.004398933306784785,1.3659995205029654,0.8930368819773916,0.00046529872599353943,-0.004962416666666666,-0.009546133333333335,0.0008156333333333332,-0.0037680833333333316,0.006274
12,19740131,13,0.081944,0.004413,-0.002561549025050764,1.2887589114578772,0.9220675837747935,0.00029225695865548655,-0.0028339833333333336,-0.007417700000000001,0.0008156333333333332,-0.0037680833333333316,0.006274
13,19740131,14,0.070423,0.004413,-0.0014599834437096335,1.0525244637079947,0.8619335582275125,0.0003694407958954478,-0.0008422666666666664,-0.005425983333333333,0.0008156333333333332,-0.0037680833333333316,0.006274
14,19740131,15,0.115617,0.004413,-0.0021351561539047375,1.2326099952040859,0.8499558980264188,0.0005583930671525517,-0.002196016666666667,-0.006779733333333333,0.0008156333333333332,-0.0037680833333333316,0.006274
15,19740131,16,-0.023822,0.004413,-0.0006883913187701607,1.3508039935147855,0.8527079448268792,0.0006561902831597741,-0.001194616666666666,-0.005778333333333332,0.0008156333333333332,-0.0037680833333333316,0.006274
16,19740131,17,0.027681,0.004413,-0.005846147583947435,1.3041119267671624,0.8977975678842876,0.000403068306376873,-0.0061764333333333326,-0.01076015,0.0008156333333333332,-0.0037680833333333316,0.006274
17,19740131,18,0.029633,0.004413,0.0009067587789665303,1.042008654877554,0.8811323969505591,0.0003049517282770127,0.0015641000000000003,-0.0030196166666666678,0.0008156333333333332,-0.0037680833333333316,0.006274
18,19740131,19,0.078288,0.004413,0.0015436028517331374,1.092722520750993,0.9022815052747947,0.00026922823957323255,0.0020098499999999992,-0.002573866666666668,0.0008156333333333332,-0.0037680833333333316,0.006274
19,19740131,20,0.058531,0.004413,0.002323654490158481,1.331217327153543,0.7963669580041541,0.0009434069055410304,0.0018912333333333314,-0.0026924833333333326,0.0008156333333333332,-0.0037680833333333316,0.006274
20,19740131,21,-0.019032,0.004413,0.0029234549749245654,0.8697582700996251,0.8451225284199596,0.00028862358433481253,0.0042298499999999985,-0.00035386666666666587,0.0008156333333333332,-0.0037680833333333316,0.006274
21,19740131,22,0.007512,0.004413,0.00011935939618858919,0.9552671064923162,0.9200033092224699,0.0001651955675236311,0.0011035500000000009,-0.003480166666666667,0.0008156333333333332,-0.0037680833333333316,0.006274
22,19740131,23,-0.0303,0.004413,0.00034104177830346664,0.8974744308477257,0.774795613067276,0.00048741621461300067,0.0015429999999999995,-0.0030407166666666678,0.0008156333333333332,-0.0037680833333333316,0.006274
23,19740131,24,0.00688,0.004413,0.0009579981148275742,0.8087395753351811,0.7235305778640744,0.0005203238305338866,0.002494316666666668,-0.002089399999999999,0.0008156333333333332,-0.0037680833333333316,0.006274
24,19740131,25,-0.000824,0.004413,0.003902139937337669,1.0092504864995913,0.6941585455974759,0.000934333071479156,0.004682916666666668,9.920000000000022e-05,0.0008156333333333332,-0.0037680833333333316,0.006274
25,19740228,1,-0.003193,0.002345,-0.015320449085151004,1.7991954807406723,0.7255304584032387,0.00254823902089862,-0.017199316666666666,-0.021803850000000003,0.0010010333333333337,-0.0036034999999999986,0.005819
